_model	model.x	model.y	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
heiss.nobound10-10all.PPMIno.LENGTH1000.SOCPOSlex	-3.3463636381337776	-0.3072097356802199	FALSE	BOW	3227	no	all	10-10	1000	lex	493	1	heiss.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound10-10all.PPMIno.LENGTH5000.SOCPOSlex	-2.838602326738894	-0.41551306888082895	FALSE	BOW	3227	no	all	10-10	5000	lex	493	1	heiss.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSlex	-2.2621909087855263	-0.366779855580461	FALSE	BOW	3227	no	all	10-10	FOC	lex	493	1	heiss.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound10-10all.PPMIselection.LENGTH1000.SOCPOSlex	-2.309265174226755	0.15791849176320694	FALSE	BOW	1471	selection	all	10-10	1000	lex	493	1	heiss.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex	-1.903804160253345	-0.0172394947775803	FALSE	BOW	1471	selection	all	10-10	5000	lex	493	1	heiss.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound10-10all.PPMIselection.LENGTHFOC.SOCPOSlex	-1.5217467020305144	-0.12597650262391047	FALSE	BOW	1471	selection	all	10-10	FOC	lex	493	1	heiss.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound10-10all.PPMIweight.LENGTH1000.SOCPOSlex	-0.4920268926447781	-0.5377891158387393	FALSE	BOW	1471	weight	all	10-10	1000	lex	493	2	heiss.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex
heiss.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex	-0.1960333131960459	-0.4548280833697816	FALSE	BOW	1471	weight	all	10-10	5000	lex	493	2	heiss.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex
heiss.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSlex	-0.16554598925518987	-0.5010405230126956	FALSE	BOW	1471	weight	all	10-10	FOC	lex	493	2	heiss.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex
heiss.nobound10-10lex.PPMIno.LENGTH1000.SOCPOSlex	-1.4939241616345564	-2.167037896837598	FALSE	BOW	2399	no	lex	10-10	1000	lex	493	3	heiss.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound10-10lex.PPMIno.LENGTH5000.SOCPOSlex	-1.196913490744132	-1.7820589461400054	FALSE	BOW	2399	no	lex	10-10	5000	lex	493	3	heiss.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound10-10lex.PPMIno.LENGTHFOC.SOCPOSlex	-0.8624912247359389	-1.371896762466031	FALSE	BOW	2399	no	lex	10-10	FOC	lex	493	3	heiss.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound10-10lex.PPMIselection.LENGTH1000.SOCPOSlex	-0.5343624633870593	-1.697705204671864	FALSE	BOW	1155	selection	lex	10-10	1000	lex	488	3	heiss.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex	-0.4107178308845973	-1.251052364766554	FALSE	BOW	1155	selection	lex	10-10	5000	lex	488	3	heiss.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound10-10lex.PPMIselection.LENGTHFOC.SOCPOSlex	-0.30662211567241604	-1.115772774531564	FALSE	BOW	1155	selection	lex	10-10	FOC	lex	488	3	heiss.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound10-10lex.PPMIweight.LENGTH1000.SOCPOSlex	0.15152586127276396	-1.2824734793069783	FALSE	BOW	1155	weight	lex	10-10	1000	lex	488	2	heiss.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex
heiss.nobound10-10lex.PPMIweight.LENGTH5000.SOCPOSlex	0.19527713435001456	-0.9479916285711164	FALSE	BOW	1155	weight	lex	10-10	5000	lex	488	2	heiss.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex
heiss.nobound10-10lex.PPMIweight.LENGTHFOC.SOCPOSlex	0.2877555800337618	-1.0199094840063978	FALSE	BOW	1155	weight	lex	10-10	FOC	lex	488	2	heiss.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex
heiss.nobound3-3all.PPMIno.LENGTH1000.SOCPOSlex	-0.3299042921238145	2.8836335128554427	FALSE	BOW	1051	no	all	3-3	1000	lex	493	4	heiss.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound3-3all.PPMIno.LENGTH5000.SOCPOSlex	-0.08014155317752611	2.288247267245207	FALSE	BOW	1051	no	all	3-3	5000	lex	493	4	heiss.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound3-3all.PPMIno.LENGTHFOC.SOCPOSlex	0.3030835034120559	1.4593355493851337	FALSE	BOW	1051	no	all	3-3	FOC	lex	493	4	heiss.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound3-3all.PPMIselection.LENGTH1000.SOCPOSlex	0.3411437364040446	2.3606284267916204	FALSE	BOW	751	selection	all	3-3	1000	lex	493	4	heiss.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex	0.4822676950266278	1.8581411860738783	FALSE	BOW	751	selection	all	3-3	5000	lex	493	4	heiss.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound3-3all.PPMIselection.LENGTHFOC.SOCPOSlex	0.6223076795898086	1.4263693340701629	FALSE	BOW	751	selection	all	3-3	FOC	lex	493	4	heiss.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSlex
heiss.nobound3-3all.PPMIweight.LENGTH1000.SOCPOSlex	1.3361135074421606	0.8058956550929527	FALSE	BOW	751	weight	all	3-3	1000	lex	493	5	heiss.nobound3-3lex.PPMIselection.LENGTH1000.SOCPOSlex
heiss.nobound3-3all.PPMIweight.LENGTH5000.SOCPOSlex	1.2471041637674447	0.6104885927495227	FALSE	BOW	751	weight	all	3-3	5000	lex	493	6	heiss.nobound3-3lex.PPMIweight.LENGTHFOC.SOCPOSlex
heiss.nobound3-3all.PPMIweight.LENGTHFOC.SOCPOSlex	1.4769222581192971	0.6516319352903616	FALSE	BOW	751	weight	all	3-3	FOC	lex	493	6	heiss.nobound3-3lex.PPMIweight.LENGTHFOC.SOCPOSlex
heiss.nobound3-3lex.PPMIno.LENGTH1000.SOCPOSlex	1.772849646604219	-0.4337496270229606	FALSE	BOW	774	no	lex	3-3	1000	lex	482	5	heiss.nobound3-3lex.PPMIselection.LENGTH1000.SOCPOSlex
heiss.nobound3-3lex.PPMIno.LENGTH5000.SOCPOSlex	1.400459134485302	-0.2597086439623418	FALSE	BOW	774	no	lex	3-3	5000	lex	482	5	heiss.nobound3-3lex.PPMIselection.LENGTH1000.SOCPOSlex
heiss.nobound3-3lex.PPMIno.LENGTHFOC.SOCPOSlex	1.2386015754755888	0.01571657709837231	FALSE	BOW	774	no	lex	3-3	FOC	lex	482	6	heiss.nobound3-3lex.PPMIweight.LENGTHFOC.SOCPOSlex
