cw	pmi_4	raw_4	freq
!/$.	1.054553	721	1852732
!Dank/VVF	7.9449224	1	1
!/ADJ	3.1731791	1	127
"""/$("	0.3044406	3697	9229108
#/XY	-0.66021293	2	12157
#0049/ADJ	7.9449224	1	1
#2/VVF	1.7285658	1	699
#407/VVF	6.6921597	1	4
%/NN	-2.2734244	11	330575
&#8211/VVF	2.8135455	1	296
&#9674/VVF	3.3682804	2	451
&#x201E;Ich/ADJ	4.3239202	1	57
&/KON	-0.6489047	23	139254
&QUOT;Ich/ADJ	6.9798417	1	4
&bdquo;Der/ADJ	2.4393368	2	664
&bdquo;Ich/ADJ	2.0728047	1	570
&bdquo;Motorradfahrer/NN	7.9449224	1	1
&bdquo;Nichts/NN	5.5935473	1	17
&hellip/VVI	5.5935473	1	17
&ndash/NE	0.31856546	8	31062
'/$(	0.17676023	252	670571
(/$(	-0.4755143	1117	5742300
)./ADJ	-0.7649345	4	25980
)./NE	-0.9372842	3	23159
)/$(	-0.5988699	968	5951051
)wird/VVF	6.818911	3	10
********************************************************************************/VVF	5.865481	1	8
**/ADJ	0.6719166	1	1752
*/XY	-1.6760166	5	85478
*1768/VVF	7.9449224	1	1
*Konvektion/NN	7.9449224	1	1
*Nansei-shoto/NE	7.9449224	1	1
*Vorname/NN	5.3609247	1	15
*__________/ADJ	3.8844795	1	64
*g*/ADJ	0.1752798	1	2849
*g*/VVF	0.2403922	1	2553
*gg*/VVF	1.5374238	1	710
*hust*/VVF	4.5149755	1	37
*peinlichrotwerd/NE	8.078454	1	1
*pffff*...nee/NN	8.638069	1	1
*sehr*/ADJ	4.556304	1	34
*seufz*/VVF	2.6560242	1	219
*zischhhh*/ADJ	9.043534	3	1
+++/ADJ	0.5451422	2	3882
++/VVF	1.8836597	3	1375
+/-/TRU	1.7842426	1	522
+/KON	-0.4894438	12	61415
+43/VVF	2.4125216	1	269
+50°C/NE	6.4980035	1	5
,,Snow-White/NE	8.078454	1	1
,/$,	0.0029706475	15953	46561862
"-""Ich/ADJ"	5.4092436	1	17
----/$(	0.8036278	2	3418
---/$(	-0.845575	1	8991
--/$(	-0.5773246	12	77381
--z.B./ADV	4.85388	1	22
-/$(	0.13064319	1336	3718681
-210°/ADJ	7.9449224	1	1
-Darmstadt/NN	7.3163137	1	2
-Debatte/NN	4.2781606	1	42
-Im/NE	4.2405386	1	58
-Infostand/NN	7.4594145	1	2
