_model	model.x	model.y	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
hitzig.nobound10-10all.PPMIno.LENGTH1000.SOCPOSlex	-3.5274367927261574	-0.5921019356925535	FALSE	BOW	3158	no	all	10-10	1000	lex	494	1	hitzig.nobound10-10all.PPMIno.LENGTH5000.SOCPOSlex
hitzig.nobound10-10all.PPMIno.LENGTH5000.SOCPOSlex	-3.2161450121369475	-0.4934459066250442	FALSE	BOW	3158	no	all	10-10	5000	lex	494	1	hitzig.nobound10-10all.PPMIno.LENGTH5000.SOCPOSlex
hitzig.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSlex	-2.168237775961873	-0.5057373698845505	FALSE	BOW	3158	no	all	10-10	FOC	lex	494	1	hitzig.nobound10-10all.PPMIno.LENGTH5000.SOCPOSlex
hitzig.nobound10-10all.PPMIselection.LENGTH1000.SOCPOSlex	-2.234217404050575	0.15873918834258088	FALSE	BOW	1155	selection	all	10-10	1000	lex	494	2	hitzig.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex	-2.107700268269582	0.21768088581758616	FALSE	BOW	1155	selection	all	10-10	5000	lex	494	2	hitzig.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound10-10all.PPMIselection.LENGTHFOC.SOCPOSlex	-0.8413563217224358	0.02645567073332936	FALSE	BOW	1155	selection	all	10-10	FOC	lex	494	2	hitzig.nobound5-5all.PPMIselection.LENGTH5000.SOCPOSlex
hitzig.nobound10-10all.PPMIweight.LENGTH1000.SOCPOSlex	0.7132165318060074	-0.8861989233185721	FALSE	BOW	1155	weight	all	10-10	1000	lex	494	3	hitzig.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSlex
hitzig.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex	0.7342368876199363	-0.8189213425890981	FALSE	BOW	1155	weight	all	10-10	5000	lex	494	3	hitzig.nobound5-5all.PPMIweight.LENGTH5000.SOCPOSlex
hitzig.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSlex	1.1105414040065682	-0.7816918385632862	FALSE	BOW	1155	weight	all	10-10	FOC	lex	494	4	hitzig.nobound10-10lex.PPMIweight.LENGTHFOC.SOCPOSlex
hitzig.nobound10-10lex.PPMIno.LENGTH1000.SOCPOSlex	-1.6936613012879744	-2.036427754396396	FALSE	BOW	2357	no	lex	10-10	1000	lex	493	5	hitzig.nobound10-10lex.PPMIno.LENGTH5000.SOCPOSlex
