cw	pmi_4	raw_4	freq
!/$.	-0.5112534	7	1852732
"""/$("	-0.47246596	79	9229108
#Wortgefechte/NN	11.013845	1	1
&/KON	-0.71547633	1	139254
&bdquo;Soldaten/NN	9.537938	1	5
&ndash/NE	1.3080465	1	31062
'/$(	-1.185134	3	670571
(/$(	-0.8696455	35	5742300
)/$(	-0.8788189	34	5951051
,/$,	0.007875254	745	46561862
-/$(	-0.19120711	45	3718681
-CIO/NE	9.566926	1	5
.../$(	0.35036197	14	679719
../NE	-0.249694	2	309421
./$.	0.18275025	362	37685318
1./ADJ	-0.50085455	2	239935
12/CAR	0.2850496	3	186423
14/CAR	-0.67859393	1	161878
15/CAR	-0.99693334	1	214077
150/CAR	0.7619787	1	31871
1810/CAR	3.9207518	1	1441
1970/CAR	1.3970068	1	18116
1984/CAR	0.9345571	1	29314
1996/CAR	-0.15260866	1	87760
1997/CAR	-0.27546182	1	99247
1:1/CAR	2.5401857	1	5451
22/CAR	-0.17570214	1	102653
24:26-Rückstand/NN	10.454229	1	2
25/CAR	0.8057353	4	145405
25°/NN	6.9997168	1	69
35/CAR	0.32003534	1	55181
36/CAR	0.776093	1	34543
39/CAR	0.8818582	1	32208
44/CAR	0.8959772	1	31187
5./ADJ	-0.27416348	1	100706
500/CAR	0.42296427	1	44084
6./ADJ	-0.100189336	1	83257
7/CAR	-0.76049715	1	154720
9/11/CAR	4.300889	1	937
92/CAR	1.7922186	1	12368
:/$.	-0.427489	32	7478139
;-/ADJ	3.831873	1	1381
;/$.	0.40595606	16	1434734
>/$(	-0.25233814	5	434859
?/$.	-0.16628623	13	2091348
@card@/CAR	-1.7834159	20	8972708
AFL-CIO/NE	5.8160386	1	195
AFL/NN	7.334385	1	44
AIPAC/NE	6.043164	1	161
Aachen/NE	1.5292213	1	15154
Abbruch/NN	2.24263	1	7283
Abend/NN	1.2623092	4	78758
Abendrot/NN	5.497899	1	294
Abgeordnete/NN	1.2006823	2	40486
Abkühlung/NN	4.4180646	2	1685
Ablenkungs)Debatten/NN	11.013845	1	1
Abraham/NE	2.1168122	1	8552
Abschneiden/NN	3.2656546	1	2492
Action-Meisters/NN	11.147376	1	1
Adalbert/NE	3.9781363	1	1321
Administration/NN	2.549789	1	5182
Affekt/NN	4.197383	2	2001
Afrika/NE	0.66373837	1	35363
Aktion/NN	-0.20477653	1	83374
Al-Sadr/NE	7.8729305	1	33
Alexander/NE	0.9974027	1	26711
Alexanderplatz/NN	3.6168964	1	1836
Allzusehr/ADJ	11.013845	1	2
Alt-Erzbischof/NN	8.560687	1	12
Altersbezug/NN	6.0023766	1	164
Altgermanist/NN	8.468314	1	17
Altstadt-Keller/NN	11.483849	1	1
Alzheimer-Patient/NN	5.289443	1	346
Andi/NE	3.7430103	1	1859
Andre/NE	2.2861073	1	7426
Andrea/NE	0.9942592	2	55988
Anfangsphase/NN	4.1916475	2	2002
Anführer/NN	2.4733503	1	5637
Angelegenheit/NN	0.539498	1	38535
Angeles/NE	2.2175062	1	7384
Angesicht/NN	2.2813792	1	6835
Angestellte/NN	0.8679997	1	27712
Angriff/NN	1.2936394	3	54918
Anlaß/NN	2.8061366	12	49405
Annäherungsversuch/NN	5.0149083	1	457
Anschuldigung/NN	3.1287038	1	2922
Ansicht/NN	0.78412944	2	61262
Antenne/NN	2.462637	1	5688
Antisemitismus/NN	1.9678708	2	19295
Antrag/NN	-0.57260853	1	119684
Antragsberatung/NN	6.5785737	1	91
Anwesenheit/NN	2.7996619	3	11936
Anzahl/NN	0.12603197	1	57755
Anzünden/NN	4.912966	1	543
Aplomb/NN	7.2325	1	48
Apollo/NE	5.479715	4	1167
Apostelgruppe/NN	10.60838	1	2
Arafat/NE	1.5340884	1	15143
Arbeit/NN	-1.1435907	2	421126
Arbeitgeberlager/NN	6.272179	1	128
Architekt/NN	1.1391299	1	21499
Arena/NN	2.9310954	2	7194
Argument/NN	0.45551264	1	44038
Art/NN	0.2717247	6	343349
Artikel/NN	0.14762692	3	189201
Arts/NN	4.767254	1	547
Asphalttemperatur/NN	10.816019	4	5
