_model	model.x	model.y	bound	foc_base	foc_context_words	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	tokens	pam_cluster	medoid
warm.nobound10-10all.PPMIno.LENGTH1000.SOCPOSlex	-2.83170501329865	-1.757176547254081	FALSE	BOW	3002	no	all	10-10	1000	lex	496	1	warm.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound10-10all.PPMIno.LENGTH5000.SOCPOSlex	-2.620367575824463	-1.1222884254164676	FALSE	BOW	3002	no	all	10-10	5000	lex	496	1	warm.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound10-10all.PPMIno.LENGTHFOC.SOCPOSlex	-2.023629273788418	-0.5469133921476615	FALSE	BOW	3002	no	all	10-10	FOC	lex	496	1	warm.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound10-10all.PPMIselection.LENGTH1000.SOCPOSlex	-1.9725962622111903	-1.3280678292645294	FALSE	BOW	1469	selection	all	10-10	1000	lex	496	1	warm.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex	-1.8057371614317348	-0.8176911379726046	FALSE	BOW	1469	selection	all	10-10	5000	lex	496	1	warm.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound10-10all.PPMIselection.LENGTHFOC.SOCPOSlex	-1.572889711073017	-0.1926964198901909	FALSE	BOW	1469	selection	all	10-10	FOC	lex	496	1	warm.nobound10-10all.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound10-10all.PPMIweight.LENGTH1000.SOCPOSlex	-0.9236865800525512	0.6368664536840816	FALSE	BOW	1469	weight	all	10-10	1000	lex	496	2	warm.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex
warm.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex	-0.7252631905542011	1.0189257188789549	FALSE	BOW	1469	weight	all	10-10	5000	lex	496	2	warm.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex
warm.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSlex	-0.6061986169217286	1.5257044098777668	FALSE	BOW	1469	weight	all	10-10	FOC	lex	496	2	warm.nobound10-10all.PPMIweight.LENGTH5000.SOCPOSlex
warm.nobound10-10lex.PPMIno.LENGTH1000.SOCPOSlex	-2.5338270642764074	0.5806196800279557	FALSE	BOW	2262	no	lex	10-10	1000	lex	496	3	warm.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound10-10lex.PPMIno.LENGTH5000.SOCPOSlex	-1.9906191535667683	0.7811935758885891	FALSE	BOW	2262	no	lex	10-10	5000	lex	496	3	warm.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound10-10lex.PPMIno.LENGTHFOC.SOCPOSlex	-1.434535419416232	0.8936373034823849	FALSE	BOW	2262	no	lex	10-10	FOC	lex	496	3	warm.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex
warm.nobound10-10lex.PPMIselection.LENGTH1000.SOCPOSlex	-1.6331513042397792	0.7694264354987317	FALSE	BOW	1185	selection	lex	10-10	1000	lex	496	3	warm.nobound10-10lex.PPMIselection.LENGTH5000.SOCPOSlex
