cw	pmi_4	raw_4	freq
!!!)...dann/VVI	8.000717	1	1
!/$.	0.70972556	483	1852732
![/QUOTE/NN	5.2843685	1	18
!nicht/NN	8.2884	1	1
"""/$("	-0.46485993	1620	9229108
#####/ADJ	5.030303	1	21
#/XY	-0.19895284	3	12157
%./ADJ	-1.0671805	1	8892
%/NN	-2.4183002	9	330575
&#730;C/NN	6.469241	1	5
&#x2022/VVF	1.6402789	1	1259
&/KON	-0.32740647	30	139254
&bdquo;Hör/NN	5.776094	1	10
&bdquo;Komm/VVF	6.109867	1	7
&bdquo;auf/NN	4.037526	1	57
&bdquo;das/NE	3.1684117	1	142
&euro/NN	-0.9042011	1	14719
&ldquo;Material&rdquo/NN	8.470721	1	1
&mdash/NE	1.2271366	2	3273
&ndash/NE	0.24082908	7	31062
&ndash;50/ADJ	7.4411016	1	2
&ndash;wenn/VVF	8.000717	1	1
'/$(	-0.5261892	118	670571
(/$(	-0.30722225	1250	5742300
)./ADJ	-0.9968215	3	25980
)./NE	0.09934009	8	23159
)/$(	-0.5216127	989	5951051
*****/ADJ	0.26851264	1	2638
***/ADJ	0.10079895	2	6441
*/XY	-1.0324348	9	85478
*4/VVF	4.9864087	2	48
*G*/ADJ	2.9850945	1	184
*Lange/VVF	8.000717	1	1
*Peru/NE	8.000717	1	1
*ROTFLL*/ADJ	8.000717	1	1
*freu*/VVF	2.4832644	1	301
*g*/ADJ	0.23107482	1	2849
*g*/VVF	0.9893344	2	2553
*ggg*/VVF	2.541132	1	276
*hrmpf*/ADJ	6.9021053	1	4
*küssken-küssken*/NN	8.000717	1	1
*lach*/ADJ	2.1035635	1	463
*lol*.....aber/NN	8.000717	1	1
*püüüühhhh*/VVF	8.000717	1	1
*totalach*/ADJ	8.000717	1	1
*und*/ADJ	4.881662	1	24
+++++++++++++++++++++++++++++++/ADJ	5.8905044	1	9
+++/ADJ	-0.09221001	1	3882
+/-/TRU	1.8400377	1	522
+/KON	0.025883544	19	61415
+1/ADJ	1.7091483	1	625
+10,3°C/NE	8.000717	1	1
+2/ADJ	2.221132	1	367
+WC/NE	8.000717	1	1
+der/ADJ	7.3075705	1	2
,/$,	0.1690473	17813	46561862
--------------------------------/$(	3.567671	2	242
--------------------/$(	0.5369242	1	2527
-----/$(	0.81466776	1	1808
--/$(	-0.36737895	14	77381
-/$(	-0.19207308	915	3718681
-10°C/NN	5.7138805	4	46
-180°C/NE	6.9021053	1	3
-3°C/NN	5.505448	1	13
-Dusche/NN	6.6789618	1	4
-Gamepro/NN	8.000717	1	1
-JR04-/NN	7.3075705	1	2
-MITHIN-/NN	8.000717	1	1
-Ursachen/NN	6.49664	1	6
-Wasser/NN	5.036734	1	20
-abenden/ADJ	6.9021053	1	3
-aber/NN	2.743222	1	204
-ausweidungen/NN	8.000717	1	1
-bleibt/VVF	6.9021053	1	3
